INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,FINNIFTY  ,01/11/2022,00018300.00,PE      ,00000002.65,00000002.70,00000000.05,00000000.10,000000000839800,         21020240,           525506,            73957,   384682946788.00,       12554788.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018350.00,CE      ,00000192.20,00000374.00,00000192.20,00000254.40,000000000019360,           202880,             5072,             3938,     3778416292.00,       55568292.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018350.00,PE      ,00000003.95,00000005.90,00000000.05,00000000.10,000000000496320,         16784400,           419610,            82029,   308006104108.00,       12364108.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018400.00,CE      ,00000183.35,00000327.15,00000162.80,00000203.50,000000000049120,          2767080,            69177,            54952,    51523241300.00,      608969300.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018400.00,PE      ,00000010.50,00000010.50,00000000.05,00000000.15,000000000964160,         45255560,          1131389,           199971,   832742642932.00,       40338932.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018450.00,CE      ,00000172.25,00000277.30,00000114.30,00000153.00,000000000028280,          2720240,            68006,            54945,    50644355622.00,      455927622.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018450.00,PE      ,00000010.00,00000012.65,00000000.05,00000000.20,000000000842480,         50363560,          1259089,           298246,   929267884658.00,       60202658.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018500.00,CE      ,00000120.00,00000227.95,00000068.00,00000101.00,000000000112800,         20373280,           509332,           324731,   379399074312.00,     2493394312.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018500.00,PE      ,00000022.35,00000022.35,00000000.05,00000000.30,000000001565840,        140384320,          3509608,           863707,  2597448627036.00,      338707036.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018550.00,CE      ,00000089.90,00000178.20,00000022.85,00000049.50,000000000141360,         23976400,           599410,           410353,   446307184754.00,     1544964754.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018550.00,PE      ,00000036.15,00000036.15,00000000.05,00000000.90,000000001302080,        146073760,          3651844,          1203641,  2710445406914.00,      777158914.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018600.00,CE      ,00000059.00,00000130.00,00000002.25,00000008.60,000000001166560,        239305480,          5982637,          2474208,  4457601774308.00,     6519846308.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018600.00,PE      ,00000055.20,00000059.00,00000000.05,00000005.15,000000002567920,        337897240,          8447431,          3009531,  6289720662648.00,     4831998648.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018650.00,CE      ,00000043.55,00000084.20,00000000.05,00000000.45,000000002035200,        162402680,          4060067,          1501692,  3030967184958.00,     2157202958.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018650.00,PE      ,00000081.20,00000093.00,00000007.55,00000045.80,000000000360080,         97550000,          2438750,          1255791,  1822664171732.00,     3356671732.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018700.00,CE      ,00000021.50,00000046.45,00000000.05,00000000.20,000000002825400,        228712760,          5717819,          1838745,  4279974254252.00,     3045642252.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018700.00,PE      ,00000100.00,00000140.75,00000019.00,00000097.05,000000000453480,         99245440,          2481136,          1290755,  1861168023346.00,     5278295346.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018750.00,CE      ,00000010.35,00000021.70,00000000.05,00000000.20,000000001275880,        109837760,          2745944,           781732,  2060151723164.00,      693723164.00
OPTIDX    ,FINNIFTY  ,01/11/2022,00018750.00,PE      ,00000137.70,00000189.90,00000043.45,00000147.05,000000000048240,         12954000,           323850,           219310,   244021797070.00,     1134297070.00
